City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
38,Namatanai,-3.6667,152.4333,78.37,81,100,3.13,PG,2022-02-11 20:28:32,overcast clouds
39,Glendive,47.1053,-104.7125,20.82,64,75,16.11,US,2022-02-11 20:28:33,broken clouds
40,Georgetown,5.4112,100.3354,78.89,86,20,4.61,MY,2022-02-11 20:24:32,few clouds
41,Ilulissat,69.2167,-51.1,24.82,80,75,6.91,GL,2022-02-11 20:28:33,light snow
42,Bambous Virieux,-20.3428,57.7575,77.25,88,20,3.44,MU,2022-02-11 20:28:33,few clouds
43,Albany,42.6001,-73.9662,51.75,41,84,3.0,US,2022-02-11 20:19:58,broken clouds
44,Tasiilaq,65.6145,-37.6368,14.16,59,100,5.57,GL,2022-02-11 20:29:34,overcast clouds
45,Carnarvon,-24.8667,113.6333,78.87,73,1,2.3,AU,2022-02-11 20:29:34,clear sky
46,Mar Del Plata,-38.0023,-57.5575,62.62,75,100,23.02,AR,2022-02-11 20:29:10,light rain
47,Laishevo,55.4046,49.5504,28.62,96,83,7.56,RU,2022-02-11 20:29:35,broken clouds
48,Butaritari,3.0707,172.7902,81.46,78,79,15.26,KI,2022-02-11 20:23:34,broken clouds
49,Bubaque,11.2833,-15.8333,79.18,70,74,12.08,GW,2022-02-11 20:29:35,broken clouds
50,Auki,-8.7676,160.7034,75.31,96,100,4.74,SB,2022-02-11 20:29:35,heavy intensity rain
51,Rawson,-43.3002,-65.1023,65.61,42,1,17.31,AR,2022-02-11 20:29:36,clear sky
52,Vetlanda,57.4289,15.0776,29.62,64,0,6.91,SE,2022-02-11 20:29:36,clear sky
53,Apac,1.9756,32.5386,74.75,43,100,2.86,UG,2022-02-11 20:29:36,overcast clouds
54,Klaksvik,62.2266,-6.589,38.32,85,100,18.28,FO,2022-02-11 20:29:37,overcast clouds
55,Kankan,10.3854,-9.3057,80.62,11,5,6.04,GN,2022-02-11 20:29:37,clear sky
56,Ravar,31.2656,56.8055,53.64,26,0,1.32,IR,2022-02-11 20:29:37,clear sky
57,Hambantota,6.1241,81.1185,77.11,88,95,12.68,LK,2022-02-11 20:25:45,overcast clouds
58,Yushu,44.8,126.5333,0.0,97,15,5.77,CN,2022-02-11 20:29:38,few clouds
59,Quatre Cocos,-20.2078,57.7625,77.11,80,30,2.53,MU,2022-02-11 20:29:38,scattered clouds
60,Dingle,10.9995,122.6711,74.88,91,100,6.51,PH,2022-02-11 20:29:38,overcast clouds
61,Yellowknife,62.456,-114.3525,-8.59,82,100,3.44,CA,2022-02-11 20:29:16,overcast clouds
62,Bredasdorp,-34.5322,20.0403,67.32,83,7,2.3,ZA,2022-02-11 20:23:37,clear sky
63,Bluff,-46.6,168.3333,58.8,67,21,14.03,NZ,2022-02-11 20:29:39,few clouds
64,Codrington,-38.2667,141.9667,51.76,90,1,8.12,AU,2022-02-11 20:23:40,clear sky
65,Buxton,53.2574,-1.9098,39.49,87,100,5.01,GB,2022-02-11 20:29:23,overcast clouds
66,Havre-Saint-Pierre,50.2334,-63.5986,23.0,73,0,20.71,CA,2022-02-11 20:29:39,clear sky
67,Sisimiut,66.9395,-53.6735,24.24,93,100,11.48,GL,2022-02-11 20:29:40,snow
68,Okhotsk,59.3833,143.3,-11.74,86,76,8.08,RU,2022-02-11 20:29:40,broken clouds
69,Lebu,-37.6167,-73.65,61.83,62,0,23.6,CL,2022-02-11 20:29:40,clear sky
70,Kruisfontein,-34.0033,24.7314,63.25,81,0,2.06,ZA,2022-02-11 20:29:41,clear sky
71,Chernaya Kholunitsa,58.8511,51.7154,15.06,98,92,4.25,RU,2022-02-11 20:29:41,overcast clouds
72,Victoria,22.2855,114.1577,66.94,88,34,4.0,HK,2022-02-11 20:28:50,scattered clouds
73,Iqaluit,63.7506,-68.5145,1.13,84,100,2.3,CA,2022-02-11 20:29:41,light snow
74,Parana,-31.732,-60.5238,83.03,30,100,21.63,AR,2022-02-11 20:29:42,overcast clouds
75,Guayaramerin,-10.8368,-65.3614,90.43,49,98,3.94,BO,2022-02-11 20:29:42,moderate rain
76,Charlottesville,38.0293,-78.4767,68.65,25,0,11.01,US,2022-02-11 20:27:19,clear sky
77,Longyearbyen,78.2186,15.6401,21.04,86,75,4.61,SJ,2022-02-11 20:29:42,light snow
78,San Ramon,37.7799,-121.978,77.04,45,0,8.05,US,2022-02-11 20:29:40,clear sky
79,Khatanga,71.9667,102.5,1.98,79,66,15.59,RU,2022-02-11 20:29:43,broken clouds
80,Andra,62.5147,65.8878,0.18,91,100,16.17,RU,2022-02-11 20:29:43,overcast clouds
81,Bathsheba,13.2167,-59.5167,83.01,57,40,24.16,BB,2022-02-11 20:29:44,scattered clouds
82,Cidreira,-30.1811,-50.2056,77.47,76,0,19.04,BR,2022-02-11 20:27:08,clear sky
83,Cape Town,-33.9258,18.4232,70.09,79,20,21.85,ZA,2022-02-11 20:29:44,few clouds
84,Hobart,-42.8794,147.3294,53.26,76,75,10.36,AU,2022-02-11 20:29:44,broken clouds
85,Kapaa,22.0752,-159.319,78.12,67,0,5.75,US,2022-02-11 20:29:45,clear sky
86,Talnakh,69.4865,88.3972,-11.33,88,100,9.93,RU,2022-02-11 20:29:44,overcast clouds
87,Tateyama,34.9833,139.8667,39.22,67,13,12.08,JP,2022-02-11 20:29:45,few clouds
88,Pacific Grove,36.6177,-121.9166,80.71,33,0,4.61,US,2022-02-11 20:29:45,clear sky
89,College,64.8569,-147.8028,1.35,75,75,9.22,US,2022-02-11 20:29:46,broken clouds
90,Visconde Do Rio Branco,-21.0103,-42.8406,71.02,96,100,2.48,BR,2022-02-11 20:29:46,overcast clouds
91,Vila Velha,-20.3297,-40.2925,76.95,88,75,11.5,BR,2022-02-11 20:29:46,broken clouds
92,Nikolskoye,59.7035,30.7861,28.29,92,40,7.94,RU,2022-02-11 20:30:47,scattered clouds
93,Umm Kaddadah,13.6017,26.6876,58.66,18,27,13.65,SD,2022-02-11 20:30:47,scattered clouds
94,Kilindoni,-7.9139,39.6668,81.3,76,100,11.9,TZ,2022-02-11 20:30:48,overcast clouds
95,Tuktoyaktuk,69.4541,-133.0374,-20.2,69,75,12.66,CA,2022-02-11 20:23:43,broken clouds
96,Brusyliv,50.2845,29.5263,38.21,94,100,6.78,UA,2022-02-11 20:30:48,overcast clouds
97,Port Blair,11.6667,92.75,75.24,88,40,0.0,IN,2022-02-11 20:27:18,mist
98,Suicheng,33.8963,117.9331,36.1,89,23,3.29,CN,2022-02-11 20:30:49,few clouds
99,George Town,5.4112,100.3354,78.73,86,20,4.61,MY,2022-02-11 20:29:44,few clouds
100,Touros,-5.1989,-35.4608,85.1,75,49,11.3,BR,2022-02-11 20:30:49,scattered clouds
101,Glendale,33.5387,-112.186,79.52,19,0,5.75,US,2022-02-11 20:27:17,clear sky
102,Tomatlan,19.9333,-105.25,87.35,26,0,10.78,MX,2022-02-11 20:30:50,clear sky
103,Marsa Matruh,31.3525,27.2453,55.24,65,5,3.65,EG,2022-02-11 20:30:50,clear sky
104,Mount Gambier,-37.8333,140.7667,48.11,93,0,4.61,AU,2022-02-11 20:30:51,clear sky
105,Port Hardy,50.6996,-127.4199,43.75,81,75,8.05,CA,2022-02-11 20:30:51,broken clouds
106,Dezhou,37.4486,116.2925,34.09,71,52,5.61,CN,2022-02-11 20:30:52,broken clouds
107,Aksarka,66.5606,67.7975,-3.08,89,100,10.25,RU,2022-02-11 20:30:52,overcast clouds
108,Usinsk,65.9939,57.5281,10.54,88,100,14.92,RU,2022-02-11 20:30:52,overcast clouds
109,Esperance,-33.8667,121.9,73.24,93,100,4.76,AU,2022-02-11 20:30:53,moderate rain
110,Altamont,42.2068,-121.7372,56.79,47,0,9.22,US,2022-02-11 20:30:53,clear sky
111,Akdepe,42.0551,59.3788,33.8,62,52,5.53,TM,2022-02-11 20:30:54,broken clouds
112,Alofi,-19.0595,-169.9187,82.29,78,75,8.05,NU,2022-02-11 20:30:54,broken clouds
113,North Myrtle Beach,33.816,-78.68,70.25,60,0,9.22,US,2022-02-11 20:29:35,clear sky
114,New Norfolk,-42.7826,147.0587,52.92,69,28,1.77,AU,2022-02-11 20:30:54,scattered clouds
115,Souillac,-20.5167,57.5167,77.38,88,20,3.44,MU,2022-02-11 20:23:38,few clouds
116,Avarua,-21.2078,-159.775,82.45,74,59,11.5,CK,2022-02-11 20:30:55,broken clouds
117,Hithadhoo,-0.6,73.0833,81.48,70,100,8.16,MV,2022-02-11 20:23:44,overcast clouds
118,Vestmannaeyjar,63.4427,-20.2734,35.17,68,100,16.26,IS,2022-02-11 20:30:55,overcast clouds
119,Bonoua,5.2741,-3.595,83.82,82,24,6.06,CI,2022-02-11 20:30:56,few clouds
120,Nouadhibou,20.931,-17.0347,75.18,46,93,9.22,MR,2022-02-11 20:30:56,overcast clouds
121,Mehamn,71.0357,27.8492,31.91,76,100,20.11,NO,2022-02-11 20:30:56,snow
122,Clyde River,70.4692,-68.5914,-16.37,76,100,33.38,CA,2022-02-11 20:30:57,heavy snow
123,Fortuna,40.5982,-124.1573,73.85,49,20,1.01,US,2022-02-11 20:30:58,few clouds
124,Revda,56.801,59.9303,7.61,96,100,3.94,RU,2022-02-11 20:30:58,overcast clouds
