City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Annau,TM,44.1,overcast clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
246,Zlobin,HR,43.9,broken clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
247,Moreira Sales,BR,85.01,clear sky,-24.0622,-53.0069,Casa Cristo Rei
248,Quebrada De Arena,HN,78.55,scattered clouds,15.7667,-85.9167,Motel Joseh
249,Presidente Epitacio,BR,82.2,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
251,Malvern,US,71.76,scattered clouds,34.3623,-92.813,Americas Best Value Inn Malvern
252,Sandpoint,US,46.62,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
253,Batsfjord,NO,30.13,light snow,70.6345,29.7185,Adventure Apartements
255,Mumford,GH,80.1,scattered clouds,5.2618,-0.759,Spanish Villa
260,Placer,US,70.2,clear sky,39.0666,-120.7677,Community of the Great Commission
261,San Jose,US,80.1,few clouds,37.3394,-121.895,The Westin San Jose
262,Padang,ID,77.5,moderate rain,-0.9492,100.3543,Mercure Padang
264,Iquique,CL,75.24,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
265,Lucapa,AO,66.43,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
266,Williams Lake,CA,36.97,few clouds,52.1415,-122.1445,Stampeder Motel
267,Mildura,AU,55.36,clear sky,-34.2,142.15,Mercure Hotel Mildura
268,Roald,NO,38.34,broken clouds,62.5833,6.1333,Flem Cabins
269,Vao,NC,80.65,light rain,-22.6667,167.4833,Hotel Kou-Bugny
270,Bajil,YE,77.38,clear sky,15.0584,43.2851,فندق حضرموت
271,Gouyave,GD,79.57,broken clouds,12.1646,-61.7296,Rumboat Retreat
272,Torbay,CA,38.75,broken clouds,47.6666,-52.7314,Gallows Cove
273,Stabat,ID,75.4,overcast clouds,3.761,98.4513,Link VII damai
276,Birjand,IR,46.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
279,Dondo,MZ,80.11,clear sky,-19.6094,34.7431,Arco Iris
281,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
282,Pasni,PK,70.18,clear sky,25.2631,63.471,Kashmiri Hotal
