City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,Manado,1.487,124.8455,75.97,100,40,0.0,ID,2022-02-11 18:28:59
131,Amga,60.8953,131.9608,-32.22,100,89,0.76,RU,2022-02-11 18:28:59
132,Muravlenko,63.7898,74.523,-7.15,86,25,11.99,RU,2022-02-11 18:28:59
133,Clyde River,70.4692,-68.5914,-16.37,76,100,31.07,CA,2022-02-11 18:29:00
134,Dahra,36.2546,0.8519,52.99,87,100,6.22,DZ,2022-02-11 18:29:00
135,Sao Sebastiao,-23.76,-45.4097,77.29,82,54,4.61,BR,2022-02-11 18:30:00
136,Tambacounda,13.7539,-13.7586,95.05,9,0,14.97,SN,2022-02-11 18:30:01
137,Yar-Sale,66.8333,70.8333,0.43,80,100,17.94,RU,2022-02-11 18:30:02
138,Ponta Delgada,37.7333,-25.6667,65.5,67,75,4.61,PT,2022-02-11 18:30:03
139,Biltine,14.5333,20.9167,73.72,11,4,10.85,TD,2022-02-11 18:30:03
140,Kargopol,61.5071,38.9456,25.47,91,100,7.85,RU,2022-02-11 18:30:04
141,Hvide Sande,56.0045,8.1294,34.0,66,6,12.57,DK,2022-02-11 18:30:05
142,College,64.8569,-147.8028,-1.77,75,100,8.05,US,2022-02-11 18:30:06
143,Arlit,18.7369,7.3853,71.55,12,0,9.22,NE,2022-02-11 18:30:06
144,Kindersley,51.4668,-109.1682,28.18,86,100,3.44,CA,2022-02-11 18:30:07
145,Aksarka,66.5606,67.7975,-0.58,86,100,11.9,RU,2022-02-11 18:30:08
146,Naze,28.3667,129.4833,57.42,66,100,8.08,JP,2022-02-11 18:30:09
147,Ponta Do Sol,32.6667,-17.1,67.71,81,18,3.11,PT,2022-02-11 18:30:09
148,Wonthaggi,-38.6044,145.5913,62.71,83,29,15.82,AU,2022-02-11 18:30:10
149,Powell,40.1578,-83.0752,51.64,58,100,16.11,US,2022-02-11 18:30:10
150,Plouzane,48.3833,-4.6167,45.09,75,0,5.75,FR,2022-02-11 18:30:10
151,Ventspils,57.3894,21.5606,33.73,75,40,12.66,LV,2022-02-11 18:30:11
152,Hithadhoo,-0.6,73.0833,81.7,70,100,7.58,MV,2022-02-11 18:30:11
153,Kampene,-3.6,26.6667,68.23,90,84,2.19,CD,2022-02-11 18:30:11
154,Ahipara,-35.1667,173.1667,75.09,93,100,14.0,NZ,2022-02-11 18:30:12
155,Takoradi,4.8845,-1.7554,80.82,80,8,10.18,GH,2022-02-11 18:30:12
156,Mabaruma,8.2,-59.7833,82.83,55,33,8.57,GY,2022-02-11 18:30:13
157,Awbari,26.5921,12.7805,53.37,33,0,8.12,LY,2022-02-11 18:30:13
158,Omsukchan,62.5333,155.8,-28.12,79,58,3.62,RU,2022-02-11 18:30:13
159,Los Llanos De Aridane,28.6585,-17.9182,67.75,68,0,4.61,ES,2022-02-11 18:30:14
160,Petropavlovsk-Kamchatskiy,53.0452,158.6483,0.19,78,0,11.18,RU,2022-02-11 18:30:14
161,Kladanj,44.2264,18.6914,46.11,87,100,2.3,BA,2022-02-11 18:30:14
162,Waddan,29.1614,16.139,55.24,44,3,9.08,LY,2022-02-11 18:30:15
163,Mayo,38.8876,-76.5119,64.78,39,0,12.66,US,2022-02-11 18:30:15
164,Coahuayana,18.7333,-103.6833,81.88,21,0,6.33,MX,2022-02-11 18:30:15
165,Xining,36.6167,101.7667,20.35,96,100,3.15,CN,2022-02-11 18:30:16
166,Ribeira Grande,38.5167,-28.7,63.0,63,75,8.05,PT,2022-02-11 18:30:16
167,Makaleng,-20.9,27.2833,74.82,47,2,8.61,BW,2022-02-11 18:30:16
168,La Ronge,55.1001,-105.2842,-18.15,52,75,3.44,CA,2022-02-11 18:30:17
169,Invermere,50.5167,-116.0354,32.45,78,55,3.71,CA,2022-02-11 18:30:17
170,Humaita,-7.5061,-63.0208,85.86,69,97,3.74,BR,2022-02-11 18:30:17
171,Jiquipilas,16.6667,-93.65,79.83,51,42,6.35,MX,2022-02-11 18:30:18
172,Vila,42.0304,-8.1588,49.33,80,100,1.52,PT,2022-02-11 18:30:18
173,Palmer,42.1584,-72.3287,55.31,35,20,25.32,US,2022-02-11 18:30:19
174,Itum-Kale,42.7356,45.5758,31.77,74,3,5.21,RU,2022-02-11 18:30:19
175,Acarau,-2.8856,-40.12,84.0,66,82,16.26,BR,2022-02-11 18:30:19
176,Yining,29.0361,114.5636,42.21,95,100,1.43,CN,2022-02-11 18:30:19
177,Nome,64.5011,-165.4064,-3.93,54,0,11.5,US,2022-02-11 18:30:20
178,Fortuna,40.5982,-124.1573,63.32,66,0,4.61,US,2022-02-11 18:30:20
179,Harper,4.375,-7.7169,80.69,77,48,9.26,LR,2022-02-11 18:30:20
180,Ugoofaaru,5.6667,73.0,81.43,73,91,5.39,MV,2022-02-11 18:30:21
181,Vanavara,60.34,102.2797,-22.67,100,79,1.32,RU,2022-02-11 18:30:21
182,Kabare,-2.4683,28.8242,62.82,92,100,0.36,CD,2022-02-11 18:30:22
183,La Asuncion,11.0333,-63.8628,71.33,94,3,18.41,VE,2022-02-11 18:31:22
184,Saldanha,-33.0117,17.9442,68.05,90,0,21.0,ZA,2022-02-11 18:31:22
185,Stornoway,58.2093,-6.3865,42.93,84,75,35.68,GB,2022-02-11 18:31:23
186,Bambous Virieux,-20.3428,57.7575,79.05,83,20,1.14,MU,2022-02-11 18:31:23
187,Fernandina Beach,30.6697,-81.4626,73.98,38,0,8.05,US,2022-02-11 18:30:42
188,Vao,-22.6667,167.4833,80.55,83,100,17.49,NC,2022-02-11 18:31:24
189,Zatoka,46.0725,30.4654,39.74,71,0,3.8,UA,2022-02-11 18:31:24
190,Bilibino,68.0546,166.4372,-36.58,97,35,2.37,RU,2022-02-11 18:31:24
191,Tasiilaq,65.6145,-37.6368,14.16,58,100,5.35,GL,2022-02-11 18:31:25
192,Fougamou,-1.2154,10.5838,77.16,89,55,2.21,GA,2022-02-11 18:31:25
193,Kalawit,8.0667,122.5167,76.26,93,75,5.59,PH,2022-02-11 18:31:25
194,Sosnovo-Ozerskoye,52.5249,111.5418,-16.47,100,100,2.08,RU,2022-02-11 18:31:26
195,Esperance,-33.8667,121.9,73.24,84,100,4.9,AU,2022-02-11 18:31:26
196,Parainen,60.3067,22.301,28.85,89,9,9.24,FI,2022-02-11 18:31:26
197,Batagay-Alyta,67.8006,130.4114,-16.73,87,100,4.21,RU,2022-02-11 18:31:27
198,Fairlie,55.756,-4.8556,44.01,81,100,1.01,GB,2022-02-11 18:31:27
199,Chernihiv,51.0,32.0,32.43,93,100,3.58,UA,2022-02-11 18:31:28
200,Aykhal,66.0,111.5,-7.6,100,99,5.23,RU,2022-02-11 18:31:28
201,Praia Da Vitoria,38.7333,-27.0667,61.05,77,75,4.9,PT,2022-02-11 18:31:28
202,Cayenne,4.9333,-52.3333,80.64,90,75,9.22,GF,2022-02-11 18:30:05
203,Narsaq,60.9167,-46.05,23.22,74,100,4.07,GL,2022-02-11 18:31:29
204,Kaitangata,-46.2817,169.8464,54.36,87,100,4.05,NZ,2022-02-11 18:31:29
205,Castro,-24.7911,-50.0119,80.2,45,16,2.26,BR,2022-02-11 18:31:29
206,Kabinda,-6.1333,24.4833,68.52,91,100,2.73,CD,2022-02-11 18:31:30
207,Pacific Grove,36.6177,-121.9166,75.81,48,0,4.0,US,2022-02-11 18:31:30
208,Konstantinovka,49.6167,127.9833,4.32,96,100,9.15,RU,2022-02-11 18:31:31
209,Sola,-13.8833,167.55,81.52,77,83,15.97,VU,2022-02-11 18:31:31
210,Vila Frescainha,41.5385,-8.6397,59.72,88,100,3.18,PT,2022-02-11 18:31:32
211,Zaranj,30.9667,61.8833,53.56,20,0,5.86,AF,2022-02-11 18:31:32
212,Rawson,-43.3002,-65.1023,66.92,38,1,18.52,AR,2022-02-11 18:31:32
213,Lima,-12.0432,-77.0282,75.45,61,0,6.91,PE,2022-02-11 18:30:29
214,Pevek,69.7008,170.3133,-27.45,99,96,7.0,RU,2022-02-11 18:31:33
215,Linkoping,58.4109,15.6216,31.8,67,0,9.22,SE,2022-02-11 18:31:33
216,Putai,46.6579,1.9863,38.79,80,10,7.09,FR,2022-02-11 18:31:33
217,Kastamonu,41.5,33.6667,31.51,78,0,1.74,TR,2022-02-11 18:31:34
218,Sao Filipe,14.8961,-24.4956,79.57,53,12,15.64,CV,2022-02-11 18:31:34
219,Aklavik,68.2191,-135.0107,-22.97,75,20,2.3,CA,2022-02-11 18:31:34
220,Plettenberg Bay,-34.0527,23.3716,65.66,80,0,1.92,ZA,2022-02-11 18:31:35
221,Les Cayes,18.2,-73.75,81.23,66,37,13.49,HT,2022-02-11 18:28:05
222,Semnan,35.5729,53.3971,45.32,64,87,7.09,IR,2022-02-11 18:31:35
223,Tabou,4.423,-7.3528,80.15,80,36,8.77,CI,2022-02-11 18:31:36
224,Saint George,37.1041,-113.5841,66.34,38,0,1.99,US,2022-02-11 18:27:37
225,Yulara,-25.2406,130.9889,67.84,42,0,5.75,AU,2022-02-11 18:31:36
226,Hamilton,39.1834,-84.5333,56.71,47,100,13.8,US,2022-02-11 18:31:36
227,Newport,51.5877,-2.9984,44.76,78,100,12.03,GB,2022-02-11 18:28:42
